user_ID,loc_ID,rating
13431,9,5.0
42470,9,5.0
1704,9,5.0
43381,9,2.0
24282,9,5.0
51362,9,2.0
11735,9,2.0
1434,9,5.0
42812,9,5.0
10867,9,3.0
19273,11,4.0
30044,11,4.0
3760,11,5.0
29964,11,5.0
34924,11,5.0
6339,11,2.0
55190,11,5.0
17548,11,5.0
38840,11,5.0
11689,11,5.0
42754,2,5.0
51443,2,5.0
10258,2,5.0
31720,2,5.0
43927,2,5.0
10408,2,5.0
25488,2,5.0
25326,2,5.0
8569,2,5.0
49095,2,5.0
5386,3,5.0
18438,3,3.0
51413,3,5.0
55881,3,2.0
22514,3,1.0
33437,3,5.0
6518,3,5.0
5425,3,5.0
21898,3,5.0
24049,3,5.0
6256,10,5.0
23036,1,5.0
7051,10,5.0
56324,10,5.0
11609,10,5.0
45134,10,5.0
5871,10,5.0
45360,10,5.0
16624,10,5.0
38083,10,4.0
22402,10,5.0
35521,1,5.0
35266,1,5.0
5296,1,5.0
31675,1,4.0
39634,1,5.0
32394,1,5.0
25784,1,5.0
33127,1,5.0
31736,1,5.0
27387,8,5.0
35773,8,5.0
36915,8,5.0
37792,8,5.0
25280,8,5.0
24434,8,5.0
1529,8,5.0
32286,8,5.0
19397,8,5.0
24275,8,5.0
23867,7,5.0
2769,7,5.0
36846,7,5.0
28922,7,5.0
24775,7,5.0
32730,7,5.0
43978,7,3.0
15027,7,3.0
13337,7,5.0
46799,7,5.0
44687,5,5.0
16325,6,5.0
20891,5,5.0
40020,5,5.0
30139,5,5.0
56871,6,4.0
47553,6,5.0
9034,6,5.0
39561,6,4.0
50089,6,4.0
16627,6,5.0
30127,6,5.0
6060,6,4.0
39215,6,5.0
40630,5,5.0
3243,5,5.0
22719,5,5.0
10205,5,5.0
55227,5,5.0
50856,5,5.0
18640,14,5.0
21455,14,5.0
48442,14,5.0
16420,14,5.0
5034,14,5.0
37188,14,5.0
6568,14,5.0
23985,14,5.0
29607,14,5.0
21549,14,5.0
19087,13,5.0
28040,13,5.0
5104,13,5.0
34807,13,5.0
11650,13,5.0
46535,13,5.0
4260,13,5.0
52786,13,5.0
8334,13,5.0
23704,13,5.0
21525,4,4.0
5445,15,5.0
29159,12,5.0
30766,4,4.0
23735,4,4.0
6237,4,5.0
34014,4,5.0
37698,4,5.0
28447,4,5.0
52741,15,4.0
9141,15,5.0
30324,15,3.0
49685,15,5.0
11872,15,5.0
51792,15,5.0
15017,15,4.0
1080,15,3.0
25793,15,5.0
23541,12,5.0
4536,12,5.0
7488,12,4.0
47478,12,5.0
10343,12,5.0
42055,12,5.0
28684,12,5.0
19045,12,4.0
3025,12,5.0
28865,4,5.0
32224,4,5.0
14678,4,4.0
47871,31,4.0
25195,31,5.0
15479,31,5.0
44567,31,5.0
19910,31,5.0
18810,31,5.0
45939,31,5.0
26149,31,5.0
16801,31,5.0
20084,31,5.0
17466,9,4.0
2985,9,3.0
23410,9,4.0
2590,9,3.0
36037,9,4.0
32126,9,5.0
15913,9,5.0
7494,9,2.0
48223,9,2.0
54149,9,5.0
5475,60,5.0
3925,60,5.0
31748,60,5.0
33657,60,5.0
3575,60,5.0
9408,60,5.0
4475,60,5.0
54415,60,4.0
38314,60,5.0
27328,60,5.0
45717,11,5.0
15330,11,5.0
20974,11,5.0
26882,11,5.0
35479,11,5.0
32214,11,5.0
5309,11,3.0
4388,11,5.0
17503,11,5.0
49519,11,5.0
28956,2,5.0
23011,2,5.0
57127,2,5.0
2558,2,5.0
24171,2,5.0
30734,2,5.0
43218,2,5.0
5369,2,5.0
21030,2,5.0
33312,2,5.0
3898,3,4.0
25090,3,5.0
27419,3,5.0
15622,3,4.0
44707,3,4.0
55425,3,4.0
29060,3,5.0
17783,3,4.0
2864,3,5.0
20400,3,5.0
4823,8,5.0
11694,8,5.0
47907,8,5.0
20480,8,5.0
27672,8,5.0
36012,8,5.0
2382,8,5.0
6794,8,5.0
22634,8,5.0
5336,8,5.0
30857,1,5.0
26873,1,5.0
47292,1,5.0
12389,1,5.0
31703,1,5.0
32355,1,5.0
35199,1,5.0
874,1,5.0
25164,1,5.0
19766,1,5.0
30740,10,5.0
38262,10,5.0
6408,10,3.0
23847,10,4.0
4992,10,4.0
51135,10,5.0
18060,10,4.0
50372,10,4.0
14975,10,5.0
31200,10,5.0
19499,14,5.0
10647,14,5.0
46074,14,5.0
7042,14,5.0
44087,14,5.0
33932,14,5.0
23914,14,5.0
51731,14,5.0
13792,14,5.0
19084,14,5.0
49826,7,5.0
15087,7,4.0
29661,7,5.0
52352,7,4.0
8952,7,5.0
28317,7,5.0
3787,7,5.0
30865,7,5.0
28310,7,5.0
26666,7,4.0
56318,5,5.0
5940,5,5.0
11957,5,5.0
35333,5,5.0
28665,5,5.0
17849,5,5.0
53749,5,5.0
28205,5,5.0
21535,5,5.0
6859,5,5.0
15496,6,5.0
45892,6,4.0
25671,6,5.0
3479,6,5.0
29781,6,4.0
7031,6,4.0
1353,6,4.0
16520,6,5.0
45279,6,5.0
55527,6,5.0
36448,13,5.0
4451,13,5.0
6282,13,5.0
4274,13,5.0
25679,13,5.0
549,13,5.0
18912,13,5.0
26367,13,5.0
49184,13,5.0
18363,13,5.0
49064,4,4.0
18242,4,5.0
11420,4,5.0
42599,4,5.0
30837,4,5.0
54551,4,2.0
16488,4,5.0
1201,4,5.0
2403,4,2.0
47608,4,5.0
14410,9,1.0
55149,12,5.0
10398,9,4.0
7475,9,5.0
44218,9,5.0
34041,9,4.0
25199,9,1.0
18940,9,4.0
5779,9,2.0
40655,9,2.0
13592,9,4.0
44636,12,5.0
19018,12,4.0
34717,12,5.0
1003,12,5.0
43351,12,5.0
15650,12,5.0
24831,12,1.0
26562,12,4.0
30248,12,5.0
21717,31,5.0
27616,31,5.0
33207,31,5.0
22387,31,5.0
44618,31,5.0
18389,31,5.0
37945,31,5.0
57561,31,5.0
24640,31,5.0
5436,31,4.0
20529,60,5.0
8309,60,5.0
51616,60,5.0
9109,60,5.0
47774,60,5.0
9079,60,5.0
42042,60,5.0
29575,60,5.0
1513,60,4.0
35736,60,4.0
52505,11,5.0
19321,11,4.0
32351,11,2.0
29102,11,4.0
32215,11,2.0
35480,11,4.0
276,11,5.0
148,11,4.0
24798,11,1.0
11657,11,5.0
46542,2,5.0
6490,2,5.0
9702,2,5.0
19634,2,4.0
1192,2,5.0
24521,2,5.0
54650,2,5.0
36010,2,5.0
2380,2,5.0
30527,2,5.0
1436,8,5.0
6162,8,5.0
4772,8,4.0
23635,8,5.0
2149,8,4.0
32470,8,5.0
3278,8,5.0
6396,8,5.0
6719,8,5.0
6394,8,5.0
31706,1,5.0
52582,1,5.0
11570,1,5.0
19866,1,5.0
51627,1,5.0
17400,1,5.0
55251,1,5.0
11489,1,5.0
3568,1,5.0
50188,1,5.0
13759,14,5.0
2339,14,5.0
20344,14,5.0
20159,14,5.0
22176,14,5.0
2376,14,5.0
22041,14,5.0
29898,14,5.0
27342,14,5.0
37269,14,5.0
4038,7,5.0
23018,7,5.0
21343,7,4.0
47582,7,5.0
15964,7,5.0
32025,7,5.0
2068,7,5.0
55798,7,5.0
37065,7,5.0
6189,7,5.0
25080,10,5.0
25646,10,5.0
18483,10,5.0
45569,10,5.0
8983,10,5.0
49028,10,5.0
28260,10,5.0
30839,10,5.0
36145,10,5.0
22549,10,5.0
36495,5,5.0
37482,5,5.0
10594,5,5.0
53951,5,5.0
26440,5,5.0
4954,5,5.0
56959,5,5.0
37090,5,5.0
32156,5,5.0
3893,5,5.0
36710,3,3.0
38824,3,5.0
17530,3,5.0
54073,3,5.0
38060,3,5.0
36789,3,5.0
33687,3,5.0
30487,3,5.0
23864,3,2.0
39421,3,5.0
12882,13,5.0
48091,13,5.0
52008,13,5.0
9174,13,5.0
27897,13,5.0
56834,13,5.0
39242,13,5.0
24423,13,5.0
50228,13,5.0
12611,13,5.0
9589,15,5.0
4223,15,4.0
5134,15,1.0
25654,15,2.0
17651,15,3.0
53478,15,5.0
13881,15,2.0
44075,15,3.0
21082,15,4.0
36968,15,5.0
24841,6,5.0
2512,6,5.0
23841,6,5.0
6402,6,5.0
43802,6,4.0
10263,6,4.0
30430,6,5.0
5683,6,4.0
21879,6,4.0
4866,6,4.0
12706,9,5.0
47979,9,4.0
21250,9,5.0
55841,9,2.0
25774,9,5.0
3808,9,3.0
28459,9,5.0
5025,9,5.0
22016,9,4.0
22709,9,5.0
36441,12,1.0
32739,12,5.0
46482,12,4.0
11069,12,4.0
47469,12,5.0
7480,12,4.0
8006,12,5.0
56684,12,5.0
2883,12,5.0
20847,12,5.0
6576,60,3.0
32426,60,5.0
22961,60,1.0
39282,60,5.0
19702,60,5.0
35583,60,4.0
51205,60,4.0
16562,60,5.0
28118,60,5.0
16130,60,5.0
55039,31,5.0
21514,31,5.0
25340,31,5.0
40824,31,5.0
21596,31,5.0
2393,31,5.0
22256,31,5.0
2771,31,5.0
24172,31,5.0
21560,31,5.0
17199,11,5.0
33094,11,5.0
34284,11,2.0
3531,11,5.0
22831,11,4.0
19883,11,5.0
49371,11,1.0
10769,11,3.0
7279,11,5.0
54444,11,5.0
54601,8,5.0
7415,8,5.0
8768,8,5.0
51686,8,5.0
1182,8,5.0
20363,8,5.0
20755,8,5.0
1235,8,5.0
21170,8,5.0
37249,8,5.0
24912,1,5.0
26185,1,5.0
29809,1,5.0
56627,1,5.0
5787,1,5.0
31348,1,5.0
18929,1,5.0
51698,1,5.0
14855,1,4.0
9214,1,5.0
54090,7,5.0
15570,7,5.0
45426,7,5.0
29171,7,5.0
13383,7,1.0
52046,7,5.0
22443,7,5.0
31333,7,5.0
22732,7,5.0
29196,7,5.0
1775,14,5.0
53180,14,5.0
7019,14,5.0
21129,14,5.0
33262,14,5.0
54706,14,5.0
